name,N,CSF1PO allele count,D13S317 allele count,D16S539 allele count,D18S51 allele count,D19S433 allele count,D21S11 allele count,D2S1338 allele count,D3S1358 allele count,D5S818 allele count,D7S820 allele count,D8S1179 allele count,FGA allele count,TH01 allele count,TPOX allele count,vWA allele count,CSF1PO sum allele freq,D13S317 sum allele freq,D16S539 sum allele freq,D18S51 sum allele freq,D19S433 sum allele freq,D21S11 sum allele freq,D2S1338 sum allele freq,D3S1358 sum allele freq,D5S818 sum allele freq,D7S820 sum allele freq,D8S1179 sum allele freq,FGA sum allele freq,TH01 sum allele freq,TPOX sum allele freq,vWA sum allele freq
BC11352+WT52457,2p,3,2,2,4,3,4,4,4,2,2,3,3,3,1,3,0.7507,0.4418,0.3324,0.5458,0.7728,0.716,0.5679,0.8282,0.4114,0.4155,0.529,0.41,0.6995,0.5249,0.6869
BC11352+C15C,2p,3,3,3,4,3,4,2,2,3,4,2,2,3,1,2,0.7507,0.5194,0.6468,0.5098,0.3822,0.6662,0.3421,0.3171,0.7992,0.7271,0.4958,0.2132,0.676,0.5249,0.4861
GC03394+GT38097,2p,2,2,4,2,2,3,4,3,2,3,3,3,3,1,3,0.5803,0.4418,0.8988,0.3089,0.518,0.5567,0.482,0.6344,0.7438,0.5083,0.5997,0.4544,0.7743,0.5249,0.6869
GC03394+MT97145,2p,2,3,3,3,2,3,4,3,4,3,2,2,3,2,2,0.5803,0.6371,0.7922,0.3491,0.518,0.3808,0.518,0.6344,0.9281,0.6205,0.3338,0.313,0.7743,0.6523,0.4861
GC03394+MT97178,2p,3,3,3,2,3,2,4,3,3,3,3,3,3,2,2,0.662,0.6413,0.7922,0.3089,0.554,0.3545,0.4876,0.6621,0.8865,0.5319,0.5027,0.356,0.7743,0.777,0.4861
GC03394+MT97185,2p,3,3,2,4,3,4,2,4,2,2,3,2,3,2,4,0.8892,0.7147,0.4778,0.4502,0.7728,0.3822,0.3421,0.741,0.7438,0.3643,0.4363,0.3837,0.7743,0.777,0.7908
GC03394+TT50720,2p,3,3,3,4,2,3,4,3,2,3,2,3,3,1,3,0.5858,0.7147,0.7922,0.4959,0.518,0.3836,0.5624,0.5305,0.7438,0.5319,0.4972,0.5361,0.7743,0.5249,0.5914
GC03394+UT58320,2p,3,2,2,2,3,4,3,2,3,3,3,3,2,2,4,0.8892,0.3726,0.4778,0.3089,0.7728,0.583,0.4474,0.4239,0.8865,0.5319,0.5997,0.4626,0.4294,0.777,0.7797
GC03394+WT52472,2p,3,2,3,4,3,3,4,3,2,4,2,3,4,1,3,0.8892,0.3684,0.7922,0.5665,0.5886,0.4528,0.4848,0.5305,0.7438,0.7881,0.4972,0.5361,0.8934,0.5249,0.5914
GC03394+C28C,2p,2,2,3,3,3,3,2,4,3,3,3,2,3,1,2,0.5803,0.446,0.7922,0.4432,0.5748,0.5567,0.3421,0.8726,0.7992,0.6205,0.4363,0.2576,0.525,0.5249,0.4861
GC03394+C79C,2p,3,2,3,3,3,3,3,3,3,3,3,2,2,1,3,0.8892,0.5942,0.7922,0.3865,0.5748,0.5138,0.4571,0.6344,0.7854,0.6205,0.6011,0.3837,0.4294,0.5249,0.6869
GT36864+GT38094,2p,3,2,3,4,2,3,4,3,3,3,2,4,4,4,3,0.8892,0.3684,0.7922,0.4363,0.6163,0.2146,0.41,0.6177,0.7854,0.4709,0.4335,0.3892,0.8699,0.9543,0.4958
GT36864+UA16924,2p,2,2,2,4,3,3,4,3,2,3,2,4,3,3,4,0.5803,0.5942,0.6288,0.4682,0.6869,0.4708,0.5139,0.6621,0.4294,0.4709,0.4958,0.586,0.6579,0.9044,0.7908
GT36864+C22C,2p,3,2,3,4,2,3,4,3,2,3,1,4,4,3,3,0.8892,0.5942,0.7922,0.4682,0.6163,0.4708,0.5651,0.6621,0.4294,0.5595,0.3296,0.3892,0.6662,0.9044,0.4958
GT36864+C74C,2p,3,2,3,3,2,2,4,2,3,4,3,4,3,2,3,0.8892,0.4418,0.6551,0.2978,0.6163,0.1883,0.4945,0.5111,0.7854,0.5055,0.572,0.586,0.7743,0.3795,0.5069
GT36866+GT38098,2p,2,2,2,3,3,4,4,2,3,2,3,2,3,2,3,0.5291,0.5942,0.4778,0.4322,0.4376,0.673,0.518,0.4487,0.8865,0.4155,0.3726,0.3837,0.7743,0.777,0.59
GT36866+GT38108,2p,3,2,3,3,3,3,4,3,2,2,2,2,3,2,3,0.8892,0.5942,0.7922,0.4405,0.6869,0.3905,0.3698,0.5553,0.4987,0.4002,0.4321,0.2576,0.7743,0.777,0.6869
GT36866+MT94818,2p,2,4,2,3,2,4,3,2,3,2,3,2,2,2,3,0.5291,0.7923,0.4778,0.3117,0.4321,0.673,0.2604,0.4487,0.8865,0.4238,0.374,0.3837,0.5804,0.6523,0.6869
GT36866+MT97141,2p,3,3,3,3,4,3,3,3,4,3,2,3,2,2,4,0.8892,0.7105,0.7922,0.3713,0.8434,0.4708,0.3324,0.5997,0.9281,0.4584,0.2701,0.3865,0.5804,0.5748,0.6828
GT36866+TT51669,2p,2,3,2,2,3,4,3,3,3,3,3,3,3,2,3,0.669,0.6718,0.4778,0.2937,0.5886,0.673,0.3324,0.7216,0.8865,0.6052,0.3463,0.3393,0.7743,0.777,0.5775
GT36866+TT51680,2p,2,2,3,4,3,2,4,3,3,2,3,3,3,1,3,0.669,0.5942,0.7922,0.446,0.6869,0.1883,0.2978,0.7216,0.8865,0.4155,0.4363,0.41,0.7743,0.5249,0.6869
GT36866+WT52470,2p,3,3,4,4,4,4,4,2,2,3,2,3,2,2,2,0.6108,0.7147,0.8102,0.5181,0.5955,0.673,0.4501,0.4487,0.4987,0.6205,0.4321,0.2825,0.5804,0.6523,0.4847
GT36866+C68C,2p,3,3,3,3,3,3,4,3,3,2,3,3,4,2,3,0.6108,0.7147,0.5844,0.4322,0.5886,0.3905,0.4502,0.7216,0.5056,0.4238,0.3726,0.3519,0.7951,0.6523,0.6869
GT36875+UT57301,2p,2,3,3,3,2,1,4,3,3,3,3,4,3,1,4,0.669,0.7147,0.7922,0.4432,0.4321,0.1593,0.3533,0.6177,0.8865,0.6052,0.6634,0.4889,0.676,0.5249,0.7908
GT36875+UT58337,2p,2,3,3,3,3,3,4,4,3,2,3,3,2,2,3,0.669,0.7105,0.7922,0.4196,0.4473,0.644,0.3533,0.7063,0.8865,0.4612,0.6011,0.4363,0.4405,0.777,0.5069
GT36875+WT52472,2p,1,3,2,3,3,3,4,2,2,3,2,4,3,1,4,0.3089,0.6371,0.4778,0.3961,0.5886,0.5401,0.3602,0.3448,0.5305,0.6288,0.4972,0.615,0.5596,0.5249,0.6939
GT36875+C17C,2p,3,2,3,4,4,2,4,2,3,4,2,3,3,2,3,0.8892,0.5942,0.5346,0.59,0.7229,0.4418,0.5084,0.3448,0.8865,0.7645,0.4972,0.4626,0.676,0.777,0.5886
GT36875+C18C,2p,3,2,2,4,3,3,2,3,3,3,2,4,3,2,3,0.8892,0.5942,0.4778,0.4972,0.4889,0.4473,0.2175,0.6177,0.8865,0.6205,0.4972,0.5152,0.676,0.777,0.5069
GT36875+C59C,2p,1,2,3,4,2,3,4,3,3,3,3,4,3,1,3,0.3089,0.5942,0.7922,0.4058,0.4321,0.5318,0.4945,0.6177,0.8865,0.6205,0.6634,0.5152,0.676,0.5249,0.5886
GT36875+C84C,2p,2,2,3,3,3,2,4,4,3,3,4,3,3,1,2,0.5291,0.5942,0.7922,0.4196,0.5886,0.4418,0.3754,0.7063,0.536,0.6205,0.6329,0.4363,0.6344,0.5249,0.3047
GT36877+GT38087,2p,3,3,4,4,3,3,4,3,3,2,4,4,3,3,3,0.8892,0.7147,0.7922,0.3879,0.6315,0.644,0.3795,0.6344,0.8865,0.4238,0.6773,0.3671,0.676,0.8269,0.4931
GT36877+MT94842,2p,1,2,3,4,3,4,4,3,3,2,4,4,3,2,3,0.3089,0.446,0.7354,0.3477,0.6315,0.6662,0.3989,0.6621,0.8865,0.3269,0.6343,0.3671,0.3394,0.777,0.4931
GT36877+MT97177,2p,3,2,2,3,2,3,4,4,3,2,3,4,4,3,4,0.6108,0.5942,0.421,0.338,0.27,0.644,0.331,0.7687,0.8865,0.3726,0.4377,0.507,0.6441,0.9044,0.6828
GT36877+MT97188,2p,2,2,3,4,3,2,4,3,2,2,3,4,4,2,2,0.669,0.446,0.7354,0.482,0.3268,0.4418,0.3989,0.6621,0.4987,0.4238,0.6011,0.5333,0.6441,0.777,0.3892
GT36877+MT97199,2p,1,2,3,3,3,2,3,3,2,3,3,4,3,3,3,0.3089,0.5942,0.7354,0.3948,0.6315,0.4418,0.2285,0.6344,0.4987,0.6288,0.4377,0.4072,0.676,0.9044,0.59
